date,close,tmw_percent_increase,tmw_1_0_percent_increase_binary,pred_tmw_1_0_percent_increase_binary,model_gains,buying_every_day_gains
2024-04-13,3013.0,0.0463680962177559,1,1,"10,000.00","10,000.00"
2024-04-14,3153.0,0.0100470957613814,0,0,"10,463.68","10,463.68"
2024-04-15,3101.0,0.0001612123166209,0,0,"10,463.68","10,568.81"
2024-04-16,3082.0,-0.0099950843847288,0,0,"10,463.68","10,570.51"
2024-04-17,2984.0,0.0297512599577304,1,0,"10,463.68","10,464.86"
2024-04-18,3064.0,0.0119316349564656,0,0,"10,463.68","10,776.20"
2024-04-19,3085.0,0.0238886252175288,1,0,"10,463.68","10,904.78"
2024-04-20,3155.0,0.0042606911787912,0,0,"10,463.68","11,165.28"
2024-04-21,3146.0,0.020444197392243273,1,0,"10,463.68","11,212.85"
2024-04-22,3199.769589894069,0.01247380148345103,0,0,"10,463.68","11,442.09"
2024-04-23,3218.9672686428075,-0.0014407526093212404,0,0,"10,463.68","11,584.82"
2024-04-24,3138.814357009402,0.010698442641881054,0,0,"10,463.68","11,568.13"
2024-04-25,3157.6193174815944,-0.0031422506934040673,0,0,"10,463.68","11,691.89"
